,annee,patho_niv1,patho_niv2,patho_niv3,top,comorbidite,libelle_comorbidite,region,dept,Ncomorb,Ntop,Proportion_comorb,patho_niv2_comorb,patho_niv3_comorb,patho_niv1_comorb,Niveau prioritaire
19149,2020,"Traitement antalgique ou anti-inflammatoire (hors pathologies, traitements, maternité ou hospitalisations)","Traitement antalgique ou anti-inflammatoire (hors pathologies, traitements, maternité ou hospitalisations)","Traitement antalgique ou anti-inflammatoire (hors pathologies, traitements, maternité ou hospitalisations)",TAA_CAT_EXC,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,,838640.0,,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"1,2,3"
19157,2020,Traitements du risque vasculaire (hors pathologies),,,TFC_CAT_EXC,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,774120.0,8336570.0,0.092858,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),1
19169,2020,Traitements du risque vasculaire (hors pathologies),,,TFC_CAT_EXC,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,15040.0,8336570.0,0.001804,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,1
19179,2020,Traitements du risque vasculaire (hors pathologies),Traitements antihypertenseurs (hors pathologies),Traitements antihypertenseurs (hors pathologies),TFC_HTA_EXC,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,678540.0,7217160.0,0.094017,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
19198,2020,Traitements du risque vasculaire (hors pathologies),Traitements antihypertenseurs (hors pathologies),Traitements antihypertenseurs (hors pathologies),TFC_HTA_EXC,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,12800.0,7217160.0,0.001773,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
19235,2020,Traitements psychotropes (hors pathologies),,,TPS_CAT_EXC,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,25760.0,5592210.0,0.004606,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,1
19247,2020,Traitements psychotropes (hors pathologies),Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies),Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies),TPS_ADR_EXC,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,9850.0,2998300.0,0.003284,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
19250,2020,Traitements psychotropes (hors pathologies),Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies),Traitements antidépresseurs ou régulateurs de l'humeur (hors pathologies),TPS_ADR_EXC,MCV_EPU_IND,Embolie pulmonaire,99,999,5800.0,2998300.0,0.001933,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
19258,2020,Traitements psychotropes (hors pathologies),Traitements anxiolytiques (hors pathologies),Traitements anxiolytiques (hors pathologies),TPS_ANX_EXC,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,403030.0,3133000.0,0.128641,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
19268,2020,Traitements psychotropes (hors pathologies),Traitements anxiolytiques (hors pathologies),Traitements anxiolytiques (hors pathologies),TPS_ANX_EXC,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,8440.0,3133000.0,0.002694,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
19276,2020,Traitements psychotropes (hors pathologies),Traitements hypnotiques (hors pathologies),Traitements hypnotiques (hors pathologies),TPS_HYP_EXC,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,172650.0,1196060.0,0.144348,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
19289,2020,Traitements psychotropes (hors pathologies),Traitements hypnotiques (hors pathologies),Traitements hypnotiques (hors pathologies),TPS_HYP_EXC,MCV_EPU_IND,Embolie pulmonaire,99,999,2870.0,1196060.0,0.002398,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
19307,2020,Traitements psychotropes (hors pathologies),Traitements neuroleptiques (hors pathologies),Traitements neuroleptiques (hors pathologies),TPS_NLE_EXC,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,850.0,323530.0,0.002615,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
19328,2018,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,Affections de longue durée (dont 31 et 32) pour d'autres causes,ALD_CAT_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,4290.0,1728500.0,0.002484,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"1,2,3"
19357,2018,Cancers,Autres cancers,,CAN_AUT_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,8890.0,1733460.0,0.005131,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,2
19364,2018,Cancers,Autres cancers,Autres cancers actifs,CAN_AUT_ACT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,108430.0,852950.0,0.127125,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
19376,2018,Cancers,Autres cancers,Autres cancers actifs,CAN_AUT_ACT,MCV_EPU_IND,Embolie pulmonaire,99,999,5020.0,852950.0,0.005884,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
19380,2018,Cancers,Autres cancers,Autres cancers actifs,CAN_AUT_ACT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,3480.0,852950.0,0.004076,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
19432,2018,Cancers,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,CAN_BPU_ACT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,39790.0,95250.0,0.417786,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
19504,2018,Cancers,Cancer colorectal,Cancer colorectal actif,CAN_CRE_ACT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,500.0,154100.0,0.003238,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
19516,2018,Cancers,Cancer colorectal,Cancer colorectal sous surveillance,CAN_CRE_SUR,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,24730.0,216420.0,0.114283,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
19525,2018,Cancers,Cancer colorectal,Cancer colorectal sous surveillance,CAN_CRE_SUR,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,1020.0,216420.0,0.004708,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
19560,2018,Cancers,Cancer de la prostate,Cancer de la prostate actif,CAN_PRO_ACT,MCV_EPU_IND,Embolie pulmonaire,99,999,860.0,220390.0,0.003898,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
19567,2018,Cancers,Cancer de la prostate,Cancer de la prostate sous surveillance,CAN_PRO_SUR,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,37670.0,308700.0,0.122019,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
19577,2018,Cancers,Cancer de la prostate,Cancer de la prostate sous surveillance,CAN_PRO_SUR,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1500.0,308700.0,0.004853,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
19586,2018,Cancers,Cancer du sein de la femme,,CAN_SEI_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,60580.0,716060.0,0.084598,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),2
19594,2018,Cancers,Cancer du sein de la femme,,CAN_SEI_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1740.0,716060.0,0.002434,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,2
19608,2018,Cancers,Cancer du sein de la femme,Cancer du sein de la femme actif,CAN_SEI_ACT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,1270.0,222810.0,0.005682,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
19610,2018,Cancers,Cancer du sein de la femme,Cancer du sein de la femme actif,CAN_SEI_ACT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,390.0,222810.0,0.001732,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
19624,2018,Cancers,Cancer du sein de la femme,Cancer du sein de la femme sous surveillance,CAN_SEI_SUR,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1360.0,493250.0,0.002751,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
19627,2018,Cancers,Cancer du sein de la femme,Cancer du sein de la femme sous surveillance,CAN_SEI_SUR,MCV_EPU_IND,Embolie pulmonaire,99,999,1000.0,493250.0,0.002029,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
19644,2018,Diabète,Diabète,Diabète,DIA_CAT_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,6540.0,3822750.0,0.00171,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"1,2,3"
19648,2018,Hospitalisation pour Covid-19,Hospitalisation pour Covid-19,Hospitalisation pour Covid-19,INF_COV_HOS,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,,,,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"1,2,3"
19673,2018,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)","Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)","Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",HHP_CAT_INC,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,988900.0,9887820.0,0.100012,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"1,2,3"
19688,2018,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)","Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)","Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",HHP_CAT_INC,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,19000.0,9887820.0,0.001922,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"1,2,3"
19707,2018,Insuffisance rénale chronique terminale,,,IRT_CAT_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,340.0,95180.0,0.003583,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,1
19732,2018,Insuffisance rénale chronique terminale,Dialyse chronique,Dialyse chronique,IRT_DCH_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,120.0,53070.0,0.00228,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
19778,2018,Maladies cardioneurovasculaires,,,MCV_CAT_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,21110.0,5026290.0,0.0042,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,1
19799,2018,Maladies cardioneurovasculaires,Accident vasculaire cérébral,,MCV_AVC_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,3280.0,928850.0,0.003533,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,2
19814,2018,Maladies cardioneurovasculaires,Accident vasculaire cérébral,Accident vasculaire cérébral aigu,MCV_AVC_AIG,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,1110.0,123400.0,0.008995,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
19818,2018,Maladies cardioneurovasculaires,Accident vasculaire cérébral,Accident vasculaire cérébral aigu,MCV_AVC_AIG,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,510.0,123400.0,0.004149,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
19852,2018,Maladies cardioneurovasculaires,Artériopathie périphérique,Artériopathie périphérique,MCV_APE_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,11900.0,706890.0,0.016837,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
19899,2018,Maladies cardioneurovasculaires,Embolie pulmonaire,Embolie pulmonaire,MCV_EPU_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,280.0,43670.0,0.006297,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
19920,2018,Maladies cardioneurovasculaires,Insuffisance cardiaque,,MCV_ICA_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,7620.0,851250.0,0.008954,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,2
19921,2018,Maladies cardioneurovasculaires,Insuffisance cardiaque,,MCV_ICA_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,6310.0,851250.0,0.00741,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,2
19922,2018,Maladies cardioneurovasculaires,Insuffisance cardiaque,,MCV_ICA_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,4380.0,851250.0,0.005143,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,2
19927,2018,Maladies cardioneurovasculaires,Insuffisance cardiaque,Insuffisance cardiaque aiguë,MCV_ICA_AIG,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,62880.0,193030.0,0.325768,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
19957,2018,Maladies cardioneurovasculaires,Insuffisance cardiaque,Insuffisance cardiaque chronique,MCV_ICA_CHR,MCV_EPU_IND,Embolie pulmonaire,99,999,4620.0,658220.0,0.007013,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
19978,2018,Maladies cardioneurovasculaires,Maladie coronaire,,MCV_SCO_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,9300.0,2059990.0,0.004513,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,2
19998,2018,Maladies cardioneurovasculaires,Maladie coronaire,Maladie coronaire chronique,MCV_SCO_CHR,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,14620.0,1959930.0,0.007459,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
20019,2018,Maladies cardioneurovasculaires,Maladie coronaire,Syndrome coronaire aigu,MCV_SCO_AIG,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,370.0,100070.0,0.003668,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
20043,2018,Maladies cardioneurovasculaires,Maladie valvulaire,Maladie valvulaire,MCV_MVA_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,2560.0,452040.0,0.005672,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
20060,2018,Maladies cardioneurovasculaires,Troubles du rythme ou de la conduction cardiaque,Troubles du rythme ou de la conduction cardiaque,MCV_TRC_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,15020.0,1737200.0,0.008644,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
20062,2018,Maladies cardioneurovasculaires,Troubles du rythme ou de la conduction cardiaque,Troubles du rythme ou de la conduction cardiaque,MCV_TRC_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,9640.0,1737200.0,0.005549,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
20084,2018,Maladies du foie ou du pancréas (hors mucoviscidose),Maladies du foie ou du pancréas (hors mucoviscidose),Maladies du foie ou du pancréas (hors mucoviscidose),MFP_CAT_EXC,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,5000.0,593870.0,0.008411,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"1,2,3"
20088,2018,Maladies du foie ou du pancréas (hors mucoviscidose),Maladies du foie ou du pancréas (hors mucoviscidose),Maladies du foie ou du pancréas (hors mucoviscidose),MFP_CAT_EXC,MCV_EPU_IND,Embolie pulmonaire,99,999,2510.0,593870.0,0.004225,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"1,2,3"
20090,2018,Maladies du foie ou du pancréas (hors mucoviscidose),Maladies du foie ou du pancréas (hors mucoviscidose),Maladies du foie ou du pancréas (hors mucoviscidose),MFP_CAT_EXC,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,2140.0,593870.0,0.003602,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"1,2,3"
20104,2018,Maladies inflammatoires ou rares ou infection VIH,,,IRV_CAT_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,2770.0,1246400.0,0.002225,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,1
20105,2018,Maladies inflammatoires ou rares ou infection VIH,,,IRV_CAT_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,2320.0,1246400.0,0.001858,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,1
20109,2018,Maladies inflammatoires ou rares ou infection VIH,Infection par le VIH,Infection par le VIH,INF_VIH_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,10230.0,145790.0,0.070191,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
20123,2018,Maladies inflammatoires ou rares ou infection VIH,Infection par le VIH,Infection par le VIH,INF_VIH_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,400.0,145790.0,0.002723,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
20146,2018,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,,IFL_CAT_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1840.0,931720.0,0.001972,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,2
20148,2018,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,Autres maladies inflammatoires chroniques,IFL_AUT_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,29560.0,212090.0,0.139361,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
20161,2018,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,Autres maladies inflammatoires chroniques,IFL_AUT_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,580.0,212090.0,0.002711,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
20177,2018,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,Maladies inflammatoires chroniques intestinales,IFL_MIC_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,370.0,261630.0,0.001395,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
20190,2018,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,Polyarthrite rhumatoïde ou maladies apparentées,IFL_PRM_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,870.0,292450.0,0.002958,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
20191,2018,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,Polyarthrite rhumatoïde ou maladies apparentées,IFL_PRM_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,690.0,292450.0,0.002353,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
20210,2018,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,Spondylarthrite ankylosante ou maladies apparentées,IFL_SPA_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,330.0,217760.0,0.001515,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
20217,2018,Maladies inflammatoires ou rares ou infection VIH,Maladies rares,,RAR_CAT_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,16620.0,179340.0,0.092653,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),2
20236,2018,Maladies inflammatoires ou rares ou infection VIH,Maladies rares,,RAR_CAT_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,440.0,179340.0,0.002442,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,2
20255,2018,Maladies inflammatoires ou rares ou infection VIH,Maladies rares,Hémophilie ou troubles de l'hémostase graves,RAR_HTH_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,130.0,51970.0,0.00254,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
20268,2018,Maladies inflammatoires ou rares ou infection VIH,Maladies rares,Maladies métaboliques héréditaires ou amylose,RAR_MMH_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,190.0,119130.0,0.001612,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
20296,2018,Maladies neurologiques,,,NEU_CAT_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,192130.0,1818030.0,0.105678,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),1
20310,2018,Maladies neurologiques,,,NEU_CAT_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,8450.0,1818030.0,0.004646,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,1
20311,2018,Maladies neurologiques,,,NEU_CAT_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,6950.0,1818030.0,0.003823,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,1
20328,2018,Maladies neurologiques,Autres affections neurologiques,Autres affections neurologiques,NEU_AUT_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,300.0,170840.0,0.001733,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
20334,2018,Maladies neurologiques,Démences (dont maladie d'Alzheimer),Démences (dont maladie d'Alzheimer),NEU_DEM_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,84590.0,768040.0,0.110141,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
20346,2018,Maladies neurologiques,Démences (dont maladie d'Alzheimer),Démences (dont maladie d'Alzheimer),NEU_DEM_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,2070.0,768040.0,0.002693,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
20365,2018,Maladies neurologiques,Lésion médullaire,Lésion médullaire,NEU_LME_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,210.0,93460.0,0.002279,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
20374,2018,Maladies neurologiques,Maladie de Parkinson,Maladie de Parkinson,NEU_PRK_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,29590.0,267190.0,0.110739,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
20390,2018,Maladies neurologiques,Maladie de Parkinson,Maladie de Parkinson,NEU_PRK_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,590.0,267190.0,0.002219,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
20395,2018,Maladies neurologiques,Myopathie ou myasthénie,Myopathie ou myasthénie,NEU_MMY_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,8340.0,47930.0,0.17391,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
20425,2018,Maladies neurologiques,Sclérose en plaques,Sclérose en plaques,NEU_SEP_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,140.0,111230.0,0.001295,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
20427,2018,Maladies neurologiques,Sclérose en plaques,Sclérose en plaques,NEU_SEP_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,100.0,111230.0,0.00089,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
20444,2018,Maladies neurologiques,Épilepsie,Épilepsie,NEU_EPI_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,5230.0,492410.0,0.010627,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
20451,2018,Maladies neurologiques,Épilepsie,Épilepsie,NEU_EPI_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1440.0,492410.0,0.002928,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
20469,2018,Maladies psychiatriques,,,PSY_CAT_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,12040.0,2630060.0,0.004577,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,1
20472,2018,Maladies psychiatriques,,,PSY_CAT_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,6210.0,2630060.0,0.002362,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,1
20495,2018,Maladies psychiatriques,Autres troubles psychiatriques,Autres troubles psychiatriques,PSY_AUT_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,1240.0,445600.0,0.002778,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
